,probability
0,0.00516833606506
1,0.00488828223035
2,0.121583439565
3,0.0836300857407
4,0.156284901774
5,0.0972314916819
6,0.0498548049357
7,0.0628483296021
8,0.0742942892082
9,0.0169336010264
10,0.184251690286
11,0.0344697042578
12,0.013261979369
13,0.0176614368419
14,0.136965899584
15,0.00158580603568
16,0.13375065845
17,0.0671947389446
18,0.0251854938743
19,0.0963674947888
20,0.231045489832
21,0.0122067016552
22,0.0218742609175
23,0.0758449995485
24,0.0212520399482
25,0.0966174282124
26,0.059420160262
27,0.472224572227
28,0.221784184196
29,0.00922789011438
30,0.0543548615985
31,0.0390294212044
32,0.497641576441
33,0.522126794744
34,0.276488903233
35,0.140736487434
36,0.210724394644
37,0.126951451509
38,0.48574774247
39,0.290440329293
40,0.204006495633
41,0.0744833628505
42,0.401155644994
43,0.0190497334191
44,0.0275517813166
45,0.337536706257
46,0.352371436746
47,0.0160756096593
48,0.0106429617905
49,0.105649602548
50,0.361938335452
51,0.0339893620532
52,0.692396190205
53,0.702148994968
54,0.220038338057
55,0.0223602772061
56,0.0126882853537
57,0.0916879988568
58,0.112389562866
59,0.0289692185907
60,0.37276615734
61,0.182023344554
62,0.12465980822
63,0.220660770686
64,0.106092227467
65,0.256048617472
66,0.202149837925
67,0.0682464845138
68,0.0629948316202
69,0.00852273773199
70,0.0347154125932
71,0.0766864524239
72,0.088438124372
73,0.159138823903
74,0.11798791633
75,0.396511940264
76,0.164738369234
77,0.0824001635105
78,0.0155072608229
79,0.0172191084239
80,0.0862449570948
81,0.249172920099
82,0.281675791108
83,0.101489274504
84,0.332359024566
85,0.218881507447
86,0.0284556721444
87,0.948145181198
88,0.101309523414
89,0.0336741818107
90,0.566617961769
91,0.4166263856
92,0.553752370619
93,0.257687586842
94,0.592136929107
95,0.171645667102
96,0.185754892778
97,0.0272818356296
98,0.146348473108
99,0.00436335088664
100,0.865405226137
101,0.284407012682
102,0.460580939105
103,0.0316616697793
104,0.249715825406
105,0.325544990866
106,0.361687604847
107,0.0236924530991
108,0.0123562342144
109,0.0530298964305
110,0.0300179284442
111,0.072207900913
112,0.161701737066
113,0.0180382395086
114,0.303846184077
115,0.0260637735697
